"input","expected_output","context","metadata"
"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder.","Most sequence-to-sequence models rely on complex recurrent or convolutional networks with separate encoder and decoder components.","The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder.","{""source_url"":""https://arxiv.org/abs/1706.03762"",""source"":""Attention Is All You Need (Vaswani et al., 2017)"",""source_kind"":""arxiv""}"
"We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely.","We introduce the Transformer, a simpler architecture that uses only attention and removes recurrence and convolutions.","We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely.","{""source_url"":""https://arxiv.org/abs/1706.03762"",""source"":""Attention Is All You Need (Vaswani et al., 2017)"",""source_kind"":""arxiv""}"
"We introduce RAGAS, a framework for reference-free evaluation of RAG pipelines.","We present RAGAS, a framework for evaluating RAG pipelines without needing reference answers.","We introduce RAGAS, a framework for reference-free evaluation of RAG pipelines.","{""source_url"":""https://arxiv.org/abs/2309.15217"",""source"":""RAGAS (Es et al., 2023)"",""source_kind"":""arxiv""}"
"RAGAS proposes three metrics — faithfulness, answer relevance, and context relevance — that can be computed automatically without reference to ground-truth answers.","RAGAS defines three automatic metrics: faithfulness, answer relevance, and context relevance, all computed without ground-truth references.","RAGAS proposes three metrics — faithfulness, answer relevance, and context relevance — that can be computed automatically without reference to ground-truth answers.","{""source_url"":""https://arxiv.org/abs/2309.15217"",""source"":""RAGAS (Es et al., 2023)"",""source_kind"":""arxiv""}"
"We show that scaling up language models greatly improves task-agnostic, few-shot performance.","We show that larger language models can substantially improve task-agnostic performance in few-shot settings.","We show that scaling up language models greatly improves task-agnostic, few-shot performance.","{""source_url"":""https://arxiv.org/abs/2005.14165"",""source"":""Language Models are Few-Shot Learners (Brown et al., 2020)"",""source_kind"":""arxiv""}"
"We train GPT-3, an autoregressive language model with 175 billion parameters, and test its performance in the few-shot setting.","We train GPT-3, a 175B-parameter autoregressive language model, and evaluate how it performs with only a few examples.","We train GPT-3, an autoregressive language model with 175 billion parameters, and test its performance in the few-shot setting.","{""source_url"":""https://arxiv.org/abs/2005.14165"",""source"":""Language Models are Few-Shot Learners (Brown et al., 2020)"",""source_kind"":""arxiv""}"
"We experiment with training a harmless AI assistant through ""constitutional AI"" (CAI).","We investigate training a harmless AI assistant using Constitutional AI (CAI).","We experiment with training a harmless AI assistant through ""constitutional AI"" (CAI).","{""source_url"":""https://arxiv.org/abs/2212.08073"",""source"":""Constitutional AI (Bai et al., 2022)"",""source_kind"":""arxiv""}"
"The method uses a set of principles that the AI follows via self-critique and revision, then reinforcement learning from AI feedback (RLAIF).","The approach starts from a set of principles, uses self-critique and revision, and then applies reinforcement learning from AI feedback (RLAIF).","The method uses a set of principles that the AI follows via self-critique and revision, then reinforcement learning from AI feedback (RLAIF).","{""source_url"":""https://arxiv.org/abs/2212.08073"",""source"":""Constitutional AI (Bai et al., 2022)"",""source_kind"":""arxiv""}"
"We explore retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric memory for language generation.","We study retrieval-augmented generation (RAG), which combines a pre-trained model with external non-parametric memory to generate text.","We explore retrieval-augmented generation (RAG) — models which combine pre-trained parametric and non-parametric memory for language generation.","{""source_url"":""https://arxiv.org/abs/2005.11401"",""source"":""Retrieval-Augmented Generation (Lewis et al., 2020)"",""source_kind"":""arxiv""}"
"RAG models generate more specific, diverse and factual language than parametric-only baselines.","Compared with parametric-only baselines, RAG produces language that is more specific, more diverse, and more factual.","RAG models generate more specific, diverse and factual language than parametric-only baselines.","{""source_url"":""https://arxiv.org/abs/2005.11401"",""source"":""Retrieval-Augmented Generation (Lewis et al., 2020)"",""source_kind"":""arxiv""}"
